Shipment_ID,Order_ID,Customer_ID,Customer_Name,Email,Phone,City,Country,Region,Postal_Code,Product_ID,Product_Name,Category,Weight_kg,Quantity,Unit_Price,Total_Price,Shipment_Date,Delivery_Date,Delay_Days,Status,Delivery_Mode,Vehicle_ID,Driver_Name,Transport_Type,Route_ID,Fuel_Cost,Distance_km,Delivery_Center,Warehouse_Name,Manager_Name,Order_Priority,Payment_Mode,Insurance,Return_Status,Remarks,Revenue,Delivery_Duration,Fuel_Efficiency,Profit,Delay_Flag,Urgency_Level,Payment_Mode_Encoded,Order_Priority_Encoded,valid
S844548,O56646,C4988,Fatima Noor,amit@gmail.com,916481978913,Delhi,UK,Unknown,400001.0,P1646,Charger,Electronics,5.000115246598537,8.0,2203.7000871626456,191096.88251139285,2023-06-05,2024-01-28,13.0,Delivered,Ship,V858,Unknown,Truck,R877,5242.289857164861,173.60676437137283,Hub C,North Hub,Ms. Verma,Low,Card,Unknown,Pending,No Remarks,17629.600697301164,237 days,0.03311659009737836,185854.59265422798,Yes,Low,6.0,1.0,False
S455305,O34199,C6438,Nan,jane@,917462393614,Chennai,Unknown,North,400001.0,P2512,Mobile,Misc,77.21123440547882,6.0,911.0416179407564,60987.13870572674,2022-03-11,2023-08-31,0.0,Delivered,Road,V423,Mr. Lee,Van,R348,586.5309851562531,419.635431707086,Hub C,South Hub,Mr. Khan,High,Cash,Yes,Not Returned,No Remarks,5466.249707644538,538 days,0.7154531343221266,60400.607720570486,No,Urgent,1.0,3.0,False
S508674,O86997,C3728,Nan,amit@gmail.com,919229225214,Mumbai,india,East,560001.0,P8183,Unknown,Furniture,82.95938216061697,2.0,833.9464516195411,78649.69329941412,2024-12-02,2025-01-15,1.0,Delayed,Ship,V791,Ms. Sharma,Unknown,R109,5513.37518466548,107.63480635290377,Unknown,North Hub,Unknown,Low,Online,No,Not Returned,No Remarks,1667.8929032390822,44 days,0.019522488992273147,73136.31811474865,Yes,Low,5.0,1.0,False
S456513,O78588,C6602,Amit Kumar,john@example.com,919293493942,Chennai,Unknown,West,110001.0,P3488,Headphones,Clothing,30.809070032750384,13.0,3016.4933319896995,147017.13630754218,2022-03-28,2023-07-15,3.0,Delayed,Rail,V730,Unknown,Truck,R573,2231.7611095343395,107.63480635290377,Warehouse A,South Hub,Mr. Patel,Medium,Cash,No,Not Returned,No Remarks,39214.41331586609,474 days,0.048228641449604766,144785.37519800785,Yes,Normal,1.0,2.0,False
S153431,O50567,C6874,Fatima Noor,jane@,917628397864,Unknown,USA,East,400001.0,P2669,Laptop,Clothing,14.379639134878165,5.0,2551.014181742006,190358.3469061544,2021-02-18,2024-03-06,11.0,Delivered,Ship,V992,Mr. Lee,Cargo,R224,8813.090633228108,1314.8118919004055,Warehouse A,Central,Ms. Verma,High,UPI,No,Returned,No Remarks,12755.07090871003,1112 days,0.14918851361214344,181545.2562729263,Yes,Urgent,4.0,3.0,False
S494636,O12796,C4430,Michael Brown,amit@gmail.com,917665311496,mumbai,India,Unknown,400001.0,P5920,Charger,Clothing,80.93553613758789,8.0,2880.640668942282,47175.32970533122,2020-09-28,2021-04-27,11.0,Cancelled,Road,V264,Mr. Lee,Van,R279,2892.410615379814,1406.512023333398,Warehouse B,Unknown,Unknown,High,Cash,No,Unknown,Handle with care,23045.125351538256,211 days,0.48627674641164437,44282.91908995141,Yes,Urgent,1.0,3.0,False
S191070,O34993,C9472,Nan,john@example.com,919506224030,Bangalore,India,East,400001.0,P5167,Charger,Electronics,12.39962747086102,8.0,394.1316242533175,21598.497764749005,2020-11-12,2025-01-21,2.0,Pending,Rail,V249,Unknown,Bike,R502,5675.666106406118,632.8260178130992,Warehouse B,Central,Unknown,Medium,UPI,Yes,Pending,No Remarks,3153.05299402654,1531 days,0.11149810541159726,15922.831658342886,Yes,Normal,4.0,2.0,False
S661798,O21370,C8280,Fatima Noor,amit@gmail.com,918989146746,Unknown,USA,East,600001.0,P3444,Mobile,Furniture,60.31094366844928,7.0,3545.305278534692,47175.32970533122,2022-01-13,2023-12-29,0.0,Cancelled,Air,V101,Mrs. Patel,Bike,R208,8481.274237271986,365.2178461823782,Hub C,Unknown,Unknown,Low,UPI,No,Not Returned,No Remarks,24817.136949742846,715 days,0.04306167162681572,38694.05546805923,No,Low,4.0,1.0,False
S181610,O32279,C5872,Michael Brown,jane@,917830307972,Chennai,UK,East,600001.0,P6425,Mobile,Clothing,92.22648638480013,9.0,2692.1612150385195,79017.03622621998,2022-10-03,2023-11-07,11.0,In Transit,Road,V539,Mr. Rao,Unknown,R271,7753.704802499183,772.2360719398845,Warehouse A,Unknown,Mr. Patel,Medium,UPI,Yes,Returned,Handle with care,24229.450935346675,400 days,0.09959575346368313,71263.3314237208,Yes,Normal,4.0,2.0,False
S108716,O89819,C2077,Amit Kumar,jane@,917765334970,Chennai,India,South,560001.0,P9260,Laptop,Accessories,66.42096729322121,17.0,2675.1471425446894,78221.03063667503,2024-03-10,2024-03-11,4.0,Delayed,Road,V347,Mr. Lee,Cargo,R777,6553.261722717063,959.3305987464664,Warehouse B,Unknown,Mr. Patel,Medium,Credit,No,Pending,Check packaging,45477.50142325972,1 days,0.14638978867895971,71667.76891395796,Yes,Normal,2.0,2.0,False
S456105,O50512,C8123,Michael Brown,jane@,916910569716,Delhi,India,South,110001.0,P3022,Headphones,Misc,21.62774151248848,1.0,2203.7000871626456,51317.76473990145,2020-02-28,2022-10-20,14.0,Pending,Road,V108,Unknown,Van,R414,7133.883833079126,1053.6006661260592,Hub C,North Hub,Unknown,Unknown,Unknown,No,Returned,Delayed delivery,2203.7000871626456,965 days,0.1476896303302018,44183.88090682233,Yes,Unknown,0.0,0.0,False
S694185,O99556,C6360,Jane Smith,jane@,917423551016,Delhi,USA,East,0.0,P2393,Headphones,Electronics,12.028971422750406,11.0,3191.0231972650536,54617.57490162202,2023-02-22,2024-06-10,13.0,Delayed,Ship,V916,Unknown,Van,R466,7599.699296509487,1666.8263383197436,Hub C,Central,Ms. Verma,Low,Card,No,Returned,Delayed delivery,35101.25516991559,474 days,0.21932793302562784,47017.87560511254,Yes,Low,6.0,1.0,False
S789868,O65738,C2277,Jane Smith,john@example.com,918977657157,Bangalore,USA,North,400001.0,P6156,Headphones,Food,16.023854724022435,13.0,2421.167471465411,190358.3469061544,2023-11-26,2024-11-20,10.0,Delayed,Rail,V582,Mr. Lee,Truck,R206,7599.699296509487,1507.020936989745,Unknown,Central,Ms. Verma,Unknown,Debit,No,Not Returned,No Remarks,31475.177129050342,360 days,0.19830007454135903,182758.6476096449,Yes,Unknown,3.0,0.0,False
S300307,O59036,C2810,Fatima Noor,jane@,919796356525,Unknown,USA,East,600001.0,P6526,Tablet,Furniture,7.867442847541991,1.0,0.0,45101.87521972178,2020-07-04,2020-07-09,10.0,In Transit,Air,V568,Ms. Sharma,Bike,R928,2892.410615379814,1601.3773331675338,Hub C,North Hub,Mr. Khan,Low,UPI,Yes,Unknown,Check packaging,0.0,5 days,0.5536479933563135,42209.46460434196,Yes,Low,4.0,1.0,False
S978034,O82028,C9154,Fatima Noor,amit@gmail.com,919522033716,Delhi,UK,East,560001.0,P2146,Unknown,Accessories,6.824055853459352,4.0,4539.137138587447,57232.80452318232,2023-09-18,2025-06-28,5.0,Delayed,Air,V500,Unknown,Truck,R622,103.9569566343168,1114.660510613214,Unknown,Unknown,Ms. Verma,High,Credit,No,Not Returned,No Remarks,18156.54855434979,649 days,10.722327266025967,57128.847566548,Yes,Urgent,2.0,3.0,False
S499508,O40218,C9890,Michael Brown,jane@,917119523168,Delhi,USA,North,560001.0,P2766,Headphones,Accessories,36.16733999015513,8.0,3014.228372520391,141034.91640095037,2020-07-22,2020-07-23,2.0,Delayed,Air,V494,Ms. Sharma,Bike,R621,9505.59236698481,1267.0122150755228,Warehouse A,Central,Mr. Patel,Medium,Cash,Unknown,Unknown,Delayed delivery,24113.82698016313,1 days,0.13329124226662173,131529.32403396556,Yes,Normal,1.0,2.0,False
S687731,O92253,C3246,Nan,john@example.com,916986873075,Unknown,Unknown,North,600001.0,P9318,Tablet,Misc,32.85574054166133,4.0,2394.7420389966887,45101.87521972178,2020-10-03,2024-12-31,3.0,Delayed,Road,V488,Mr. Lee,Cargo,R916,9768.548903378454,531.0631365028049,Unknown,Central,Mr. Patel,Low,Card,No,Unknown,No Remarks,9578.968155986755,1550 days,0.05436458800130863,35333.32631634332,Yes,Low,6.0,1.0,False
S500153,O42162,C1017,Li Wei,jane@,916436880247,Chennai,India,North,560001.0,P1164,Unknown,Furniture,29.568392529254208,12.0,4140.753897801966,14882.343104953285,2023-10-25,2024-08-03,9.0,Delivered,Ship,V180,Mr. Rao,Cargo,R217,5675.666106406118,713.1551668397186,Unknown,Central,Unknown,Medium,UPI,Unknown,Pending,Handle with care,49689.04677362359,283 days,0.1256513602931612,9206.676998547166,Yes,Normal,4.0,2.0,False
S352971,O63996,C8215,Fatima Noor,jane@,917492168043,mumbai,UK,North,560001.0,P1814,Mobile,Misc,83.32804275964196,7.0,866.0408676854231,133645.41925306083,2020-04-04,2025-01-28,5.0,In Transit,Air,V278,Mrs. Patel,Van,R197,1274.6931179776243,65.59446973231886,Unknown,Central,Mr. Patel,Unknown,Online,No,Not Returned,Delayed delivery,6062.286073797962,1760 days,0.051459028692638076,132370.7261350832,Yes,Unknown,5.0,0.0,False
S372460,O40439,C2889,Li Wei,jane@,916825100269,Mumbai,India,North,600001.0,P8185,Tablet,Food,21.62774151248848,1.0,3608.377160774864,131384.30717858748,2020-01-22,2022-08-02,-1.0,Cancelled,Road,V264,Mrs. Patel,Unknown,R173,8565.430963853194,1010.9860429469974,Warehouse A,Central,Mr. Khan,Low,Debit,Unknown,Returned,Handle with care,3608.377160774864,923 days,0.11803096040507939,122818.87621473428,No,Low,3.0,1.0,False
S607857,O32054,C2130,John Doe,john@example.com,919891458044,Delhi,India,East,110001.0,P1825,Charger,Misc,62.51816361934201,13.0,2692.1612150385195,131061.78180224224,2023-06-21,2025-02-13,5.0,In Transit,Road,V567,Mrs. Patel,Truck,R246,5719.099566952399,1070.479318614681,Warehouse B,Unknown,Mr. Khan,Medium,UPI,Unknown,Unknown,Delayed delivery,34998.095795500754,603 days,0.1871761989947518,125342.68223528985,Yes,Normal,4.0,2.0,False
S557107,O32610,C6120,Michael Brown,john@example.com,916370448669,Delhi,USA,South,400001.0,P4383,Laptop,Misc,16.021454773452163,1.0,3016.4933319896995,61620.033408472336,2020-12-13,2025-07-19,9.0,Delivered,Rail,V141,Ms. Sharma,Cargo,R980,9984.617643071222,1147.6067239810775,Hub C,South Hub,Unknown,High,UPI,Yes,Pending,Handle with care,3016.4933319896995,1679 days,0.11493747332202087,51635.415765401114,Yes,Urgent,4.0,3.0,False
S889557,O11120,C6084,Michael Brown,amit@gmail.com,919698327847,mumbai,Unknown,West,560001.0,P1908,Charger,Furniture,47.48538505361395,14.0,3619.965368561621,189658.9030926553,2022-11-26,2023-05-25,2.0,Delayed,Road,V191,Unknown,Cargo,R161,7342.820680526852,1666.8263383197436,Warehouse A,South Hub,Ms. Verma,Low,Debit,Unknown,Pending,No Remarks,50679.51515986269,180 days,0.227000823095158,182316.08241212845,Yes,Low,3.0,1.0,False
S147512,O72869,C2930,John Doe,jane@,918481493074,Chennai,UK,Unknown,600001.0,P6482,Mobile,Accessories,80.93553613758789,4.0,4217.694349370825,32793.98709345699,2022-04-29,2023-03-11,-1.0,Delayed,Rail,V836,Mrs. Patel,Van,R478,1320.6811082606414,1861.9599008559655,Warehouse A,Central,Unknown,High,Credit,Yes,Pending,Delayed delivery,16870.7773974833,316 days,1.4098482133269834,31473.30598519635,No,Urgent,2.0,3.0,False
S911474,O85025,C3571,Amit Kumar,john@example.com,919948241478,Mumbai,india,East,0.0,P7639,Charger,Furniture,49.63266183825688,3.0,4539.137138587447,12163.06652983601,2020-09-07,2024-01-27,9.0,Cancelled,Ship,V854,Unknown,Van,R775,7561.095207931837,1147.6067239810775,Warehouse B,Unknown,Unknown,Low,Debit,Yes,Unknown,No Remarks,13617.41141576234,1237 days,0.1517778433443346,4601.971321904174,Yes,Low,3.0,1.0,False
S499345,O49294,C6958,Jane Smith,amit@gmail.com,916692457016,Mumbai,India,North,560001.0,P2329,Laptop,Furniture,44.29517312709033,5.0,3034.59077191849,196124.17913065635,2023-07-29,2024-10-21,2.0,Delayed,Road,V455,Unknown,Unknown,R626,666.2038034756613,1045.618889312698,Warehouse A,Unknown,Mr. Khan,High,Unknown,No,Not Returned,Handle with care,15172.953859592451,450 days,1.5695180421630512,195457.9753271807,Yes,Urgent,0.0,3.0,False
S710993,O63703,C6402,Michael Brown,amit@gmail.com,918428726107,Unknown,India,West,400001.0,P8216,Charger,Electronics,30.809070032750384,19.0,2127.286521221502,101091.60274448698,2022-05-14,2024-08-04,4.0,Pending,Air,V727,Mr. Rao,Van,R623,7402.625862593285,465.7087814227343,Warehouse A,Central,Ms. Verma,Unknown,Card,Unknown,Not Returned,Delayed delivery,40418.443903208536,813 days,0.06291129527105228,93688.9768818937,Yes,Unknown,6.0,0.0,False
S238573,O93586,C7658,Amit Kumar,john@example.com,916188892926,Mumbai,USA,Unknown,110001.0,P7976,Mobile,Furniture,80.93553613758789,11.0,2036.6726209806648,79017.03622621998,2023-03-31,2023-08-04,4.0,Unknown,Road,V901,Mr. Lee,Bike,R175,9057.001815926433,1994.252399409692,Unknown,Unknown,Unknown,High,Unknown,No,Not Returned,Handle with care,22403.39883078731,126 days,0.22018902501519502,69960.03441029355,Yes,Urgent,0.0,3.0,False
S987582,O69386,C9104,Michael Brown,john@example.com,916137052601,Delhi,USA,South,0.0,P8957,Tablet,Furniture,37.766741825312565,4.0,1984.8354527273511,188993.68719476004,2020-01-26,2025-04-17,4.0,Delayed,Rail,V954,Ms. Sharma,Truck,R710,352.5252197417602,796.33515645962,Warehouse B,North Hub,Mr. Patel,Medium,Credit,Unknown,Unknown,Delayed delivery,7939.341810909405,1908 days,2.2589452097724227,188641.16197501827,Yes,Normal,2.0,2.0,False
S269356,O71413,C8325,John Doe,jane@,917553813055,Bangalore,USA,West,600001.0,P5041,Laptop,Food,33.4243534728386,13.0,582.118253691674,194596.3121840462,2021-02-07,2025-06-28,8.0,Cancelled,Rail,V137,Ms. Sharma,Van,R421,5630.916918983429,1406.512023333398,Unknown,North Hub,Mr. Patel,High,Unknown,Unknown,Returned,No Remarks,7567.537297991762,1602 days,0.2497838351320092,188965.39526506278,Yes,Urgent,0.0,3.0,False
S126549,O55125,C2079,Michael Brown,jane@,919357871838,mumbai,India,West,0.0,P7229,Headphones,Accessories,49.63266183825688,13.0,2036.6726209806648,131653.96707301988,2023-10-07,2024-09-27,0.0,Delivered,Road,V177,Mrs. Patel,Truck,R871,7342.820680526852,453.81485223837,Hub C,South Hub,Mr. Patel,Medium,Credit,No,Not Returned,No Remarks,26476.744072748643,356 days,0.061803885997364236,124311.14639249303,No,Normal,2.0,2.0,False
S521213,O82460,C4080,Jane Smith,john@example.com,919291574918,Chennai,india,West,560001.0,P4592,Mobile,Furniture,68.5811861379596,13.0,802.3631791511527,155284.49953043126,2022-08-03,2025-09-19,2.0,In Transit,Rail,V888,Mr. Rao,Cargo,R162,2321.3171458743936,1469.748250489666,Warehouse B,Unknown,Mr. Patel,Unknown,Debit,Yes,Unknown,Check packaging,10430.721328964986,1143 days,0.6331527137951851,152963.18238455686,Yes,Unknown,3.0,0.0,False
S482799,O29694,C7370,Li Wei,amit@gmail.com,917036456017,Unknown,India,North,110001.0,P6181,Unknown,Misc,20.367541324756797,6.0,1457.3824505425428,47175.32970533122,2021-04-09,2024-07-13,10.0,Delivered,Ship,V452,Mr. Rao,Cargo,R173,1183.948113343711,183.36582981200672,Hub C,Unknown,Mr. Patel,High,Credit,Yes,Pending,Handle with care,8744.294703255257,1191 days,0.15487657587809675,45991.38159198751,Yes,Urgent,2.0,3.0,False
S850493,O45850,C5445,Michael Brown,jane@,916893901701,Mumbai,india,East,600001.0,P7787,Tablet,Electronics,49.63266183825688,8.0,4712.281498228901,52705.98887664019,2023-03-15,2023-12-01,13.0,Cancelled,Rail,V989,Unknown,Cargo,R724,8813.090633228108,787.0087478115729,Warehouse B,North Hub,Mr. Khan,Medium,Debit,Unknown,Returned,Handle with care,37698.25198583121,261 days,0.08929997211696697,43892.898243412084,Yes,Normal,3.0,2.0,False
S951021,O92626,C9614,Nan,amit@gmail.com,918766285212,Bangalore,Unknown,North,400001.0,P1753,Unknown,Accessories,5.000115246598537,6.0,2814.938437455917,1631.4072913987538,2020-11-26,2023-08-20,5.0,In Transit,Road,V885,Unknown,Cargo,R715,7652.798285852741,709.6553950141215,Warehouse B,South Hub,Ms. Verma,High,Online,Yes,Returned,No Remarks,16889.630624735502,997 days,0.09273149095357941,-6021.390994453987,Yes,Urgent,5.0,3.0,False
S316209,O63564,C3826,John Doe,john@example.com,919059970955,Unknown,USA,West,600001.0,P6145,Laptop,Clothing,47.48538505361395,13.0,3703.999549743543,72897.15579025428,2022-04-11,2023-06-11,1.0,Delayed,Road,V584,Ms. Sharma,Bike,R464,352.5252197417602,1565.312684155129,Hub C,South Hub,Mr. Patel,High,Unknown,No,Pending,No Remarks,48151.99414666606,426 days,4.440285677438305,72544.63057051253,Yes,Urgent,0.0,3.0,False
S823947,O67060,C9512,Nan,john@example.com,916092894146,Delhi,Unknown,West,600001.0,P4990,Mobile,Accessories,28.452983713894387,1.0,307.5872965880739,14882.343104953285,2021-08-18,2021-08-24,10.0,In Transit,Road,V101,Mr. Lee,Cargo,R917,4344.41136364849,914.0718784944544,Warehouse B,North Hub,Mr. Khan,Medium,Online,Yes,Not Returned,Handle with care,307.5872965880739,6 days,0.21040177874104574,10537.931741304794,Yes,Normal,5.0,2.0,False
S629739,O77570,C8275,Jane Smith,john@example.com,919841201816,Delhi,Unknown,South,110001.0,P6913,Unknown,Clothing,26.248608169201685,5.0,3619.05414454862,196124.17913065635,2021-12-25,2023-07-07,13.0,Pending,Ship,V101,Mrs. Patel,Van,R314,1320.6811082606414,1070.479318614681,Warehouse A,Central,Mr. Patel,Low,Debit,No,Pending,Delayed delivery,18095.270722743102,559 days,0.8105509436903506,194803.4980223957,Yes,Low,3.0,1.0,False
S634558,O80997,C2822,Nan,amit@gmail.com,916334718936,mumbai,USA,East,110001.0,P9747,Charger,Accessories,27.49922866150264,7.0,4323.3523984833655,17051.123447644695,2021-11-27,2025-08-28,3.0,Delivered,Road,V382,Mrs. Patel,Van,R367,7753.704802499183,826.8818712012421,Unknown,North Hub,Ms. Verma,Medium,Online,Unknown,Unknown,Handle with care,30263.466789383558,1370 days,0.10664345525957096,9297.418645145513,Yes,Normal,5.0,2.0,False
S148647,O35813,C8493,John Doe,amit@gmail.com,917409615440,Chennai,india,East,110001.0,P9611,Headphones,Food,92.22648638480013,12.0,4217.694349370825,97446.15289517608,2022-12-02,2024-06-13,11.0,Delayed,Ship,V919,Mrs. Patel,Van,R836,7392.572989838913,906.3141667727936,Warehouse B,Unknown,Ms. Verma,High,Debit,No,Returned,No Remarks,50612.3321924499,559 days,0.1225979328196721,90053.57990533717,Yes,Urgent,3.0,3.0,False
S181457,O50654,C9127,Li Wei,john@example.com,919221733830,Mumbai,india,South,400001.0,P4698,Tablet,Misc,94.91411095670664,1.0,405.8528002700663,147017.13630754218,2022-11-16,2024-10-15,0.0,Delayed,Road,V454,Unknown,Bike,R745,5527.842773988052,174.41347662778423,Warehouse A,Central,Mr. Khan,Low,Card,Yes,Not Returned,No Remarks,405.8528002700663,699 days,0.03155181573696496,141489.29353355413,No,Low,6.0,1.0,False
S153988,O41241,C9174,Michael Brown,john@example.com,917334021092,Unknown,UK,West,0.0,P6204,Unknown,Misc,20.000294810704947,4.0,524.0510366881534,21598.497764749005,2020-07-08,2022-12-09,10.0,Delayed,Road,V156,Unknown,Truck,R549,8231.461695455953,1009.2353840107952,Unknown,Unknown,Mr. Patel,Medium,UPI,Yes,Unknown,No Remarks,2096.2041467526137,884 days,0.12260706802145814,13367.036069293052,Yes,Normal,4.0,2.0,False
S632269,O51391,C9118,Nan,amit@gmail.com,918649554385,Bangalore,UK,Unknown,560001.0,P5329,Unknown,Clothing,14.521960384988883,3.0,3619.05414454862,65957.74184791233,2022-12-08,2024-12-06,12.0,Cancelled,Rail,V860,Mr. Lee,Van,R989,586.5309851562531,1045.618889312698,Warehouse A,North Hub,Ms. Verma,Unknown,Debit,Unknown,Unknown,No Remarks,10857.16243364586,729 days,1.7827172234287723,65371.210862756074,Yes,Unknown,3.0,0.0,False
S112311,O67152,C7283,Jane Smith,amit@gmail.com,918447282171,Bangalore,UK,Unknown,110001.0,P3665,Mobile,Accessories,80.93553613758789,1.0,4386.362714030262,131653.96707301988,2020-07-12,2021-09-27,3.0,Pending,Ship,V489,Mr. Lee,Van,R384,1274.6931179776243,740.9701505086177,Hub C,Unknown,Mr. Patel,Medium,Unknown,Unknown,Not Returned,No Remarks,4386.362714030262,442 days,0.5812929716638077,130379.27395504226,Yes,Normal,0.0,2.0,False
S568705,O56485,C5512,Jane Smith,john@example.com,916496898122,Bangalore,USA,South,560001.0,P8198,Laptop,Clothing,5.000115246598537,9.0,405.8528002700663,60987.13870572674,2022-08-28,2023-08-06,4.0,Cancelled,Road,V830,Mr. Lee,Van,R427,7015.422873397185,151.0244465801482,Hub C,South Hub,Mr. Khan,High,Cash,Yes,Returned,No Remarks,3652.675202430597,343 days,0.021527490117928608,53971.71583232956,Yes,Urgent,1.0,3.0,False
S691443,O80965,C6590,Fatima Noor,jane@,918314955057,Chennai,UK,East,0.0,P8011,Charger,Accessories,81.638412131256,19.0,2899.960714059048,126046.97541719936,2021-02-01,2023-02-03,11.0,In Transit,Road,V826,Ms. Sharma,Bike,R958,8665.19275946971,897.122186648256,Unknown,South Hub,Mr. Patel,Low,Debit,No,Returned,No Remarks,55099.25356712191,732 days,0.10353170570473932,117381.78265772965,Yes,Low,3.0,1.0,False
S370377,O58760,C5722,Li Wei,john@example.com,919518061775,Mumbai,UK,North,600001.0,P6387,Tablet,Food,80.31859958502694,12.0,4624.872973105552,13794.510437642091,2022-02-07,2025-04-29,14.0,Cancelled,Air,V552,Mr. Lee,Cargo,R597,7015.422873397185,796.33515645962,Warehouse B,Unknown,Mr. Khan,Low,Card,No,Pending,No Remarks,55498.47567726662,1177 days,0.11351206774424967,6779.087564244906,Yes,Low,6.0,1.0,False
S427908,O35935,C6286,Fatima Noor,john@example.com,919384999750,Unknown,India,North,400001.0,P1712,Tablet,Food,96.97367046257358,6.0,4018.205925899916,155284.49953043126,2020-01-15,2023-05-24,5.0,Cancelled,Road,V767,Unknown,Unknown,R131,4527.669155469163,740.9701505086177,Warehouse B,Central,Mr. Khan,Medium,Online,No,Not Returned,Delayed delivery,24109.235555399497,1225 days,0.16365377527939923,150756.8303749621,Yes,Normal,5.0,2.0,False
S262310,O62805,C4639,Amit Kumar,jane@,919036003897,mumbai,UK,North,600001.0,P9117,Charger,Clothing,77.33835454501741,10.0,2700.135729141203,198229.44047125307,2020-10-20,2024-02-20,7.0,Pending,Road,V491,Ms. Sharma,Cargo,R388,4493.931902391445,1097.1244178130758,Warehouse A,Central,Ms. Verma,Unknown,Cash,No,Pending,Check packaging,27001.357291412027,1218 days,0.24413463346635075,193735.5085688616,Yes,Unknown,1.0,0.0,False
S805202,O48452,C4512,Li Wei,jane@,916074876092,Bangalore,UK,Unknown,0.0,P5867,Tablet,Electronics,77.21123440547882,9.0,1958.8219570611548,33976.37038038645,2023-09-16,2024-05-30,14.0,Delayed,Road,V748,Unknown,Truck,R759,5873.870748481539,906.3141667727936,Warehouse A,Unknown,Ms. Verma,High,Card,Unknown,Unknown,No Remarks,17629.397613550394,257 days,0.1542958988341863,28102.49963190491,Yes,Urgent,6.0,3.0,False
S387782,O88268,C6417,Jane Smith,amit@gmail.com,919823132111,Delhi,Unknown,East,110001.0,P3304,Mobile,Furniture,96.97367046257358,18.0,3628.704095992725,121613.61499720452,2020-10-04,2021-08-12,6.0,Delayed,Ship,V581,Unknown,Bike,R356,3732.107672092139,1010.9860429469974,Unknown,Central,Ms. Verma,Low,Card,Unknown,Returned,No Remarks,65316.67372786905,312 days,0.27088876628799413,117881.50732511238,Yes,Low,6.0,1.0,False
S118545,O34073,C3000,Fatima Noor,john@example.com,916441300887,Mumbai,USA,Unknown,400001.0,P1606,Unknown,Furniture,90.9773800068388,11.0,4712.281498228901,7967.942200681889,2021-04-23,2024-05-03,3.0,Delayed,Air,V200,Mrs. Patel,Truck,R501,178.809622859355,173.60676437137283,Hub C,Central,Mr. Khan,Unknown,Unknown,No,Unknown,Handle with care,51835.09648051791,1106 days,0.9709028048670818,7789.132577822534,Yes,Unknown,0.0,0.0,False
S930381,O94717,C1753,Amit Kumar,amit@gmail.com,917088879950,mumbai,UK,Unknown,400001.0,P9972,Charger,Clothing,30.772103174474005,11.0,528.0540744930373,149908.959129698,2020-08-01,2025-09-07,12.0,Delivered,Road,V474,Mrs. Patel,Cargo,R740,3087.753105059869,1045.618889312698,Unknown,Central,Unknown,Unknown,Card,Unknown,Pending,Delayed delivery,5808.594819423411,1863 days,0.33863422810562577,146821.20602463812,Yes,Unknown,6.0,0.0,False
S757071,O91833,C8202,Michael Brown,jane@,916226230786,mumbai,Unknown,South,560001.0,P7415,Laptop,Food,20.000294810704947,11.0,473.0606673630325,183930.7372013707,2020-04-23,2021-10-21,-1.0,Delayed,Air,V208,Mr. Rao,Unknown,R717,3978.506822396121,1666.8263383197436,Warehouse B,South Hub,Mr. Khan,Low,Credit,Yes,Returned,No Remarks,5203.667340993357,546 days,0.41895776800902157,179952.23037897458,No,Low,2.0,1.0,False
S120151,O44659,C1831,Fatima Noor,john@example.com,916254329163,Unknown,UK,Unknown,400001.0,P8522,Tablet,Furniture,5.000115246598537,13.0,2473.7388485041297,6111.4382736409925,2024-06-29,2025-07-26,9.0,Unknown,Ship,V166,Mrs. Patel,Unknown,R475,1274.6931179776243,796.33515645962,Hub C,South Hub,Mr. Khan,Unknown,UPI,Unknown,Not Returned,Handle with care,32158.605030553685,392 days,0.6247269599470754,4836.745155663368,Yes,Unknown,4.0,0.0,False
S153370,O84969,C4061,Nan,amit@gmail.com,918601245820,Chennai,USA,West,400001.0,P8183,Laptop,Food,21.62774151248848,12.0,3016.4933319896995,38876.644399990495,2020-01-18,2025-09-13,7.0,Cancelled,Ship,V556,Unknown,Unknown,R516,5527.842773988052,558.3356878130787,Warehouse B,South Hub,Unknown,Unknown,Debit,Yes,Pending,No Remarks,36197.919983876396,2065 days,0.10100426344258494,33348.801626002445,Yes,Unknown,3.0,0.0,False
S618203,O31199,C3549,John Doe,jane@,918960416654,mumbai,india,South,400001.0,P9594,Laptop,Accessories,32.85574054166133,13.0,4018.205925899916,197255.3224843835,2021-12-10,2025-01-10,11.0,In Transit,Rail,V508,Mrs. Patel,Cargo,R935,2892.410615379814,1229.7417935193005,Warehouse A,North Hub,Mr. Khan,Unknown,Card,No,Not Returned,Check packaging,52236.67703669891,1127 days,0.42516155451110393,194362.9118690037,Yes,Unknown,6.0,0.0,False
S930722,O97597,C5421,Li Wei,jane@,916504791425,mumbai,USA,West,400001.0,P6597,Mobile,Food,98.69525019175148,6.0,2634.015917438526,14882.343104953285,2022-03-08,2023-05-02,13.0,Delivered,Ship,V250,Mr. Lee,Bike,R940,4600.327884455801,151.0244465801482,Warehouse B,South Hub,Mr. Khan,High,Cash,Unknown,Not Returned,Handle with care,15804.095504631154,420 days,0.03282906140026446,10282.015220497484,Yes,Urgent,1.0,3.0,False
